"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Philadelphia Eagles","","45.7","13.8","13.3","23.1","2.8","0.0","344.1","5,501.4","116.3"
"Denver Broncos","","52.4","12.5","11.1","15.6","2.6","0.5","341.6","5,364.5","116.3"
"Buffalo Bills","","45.3","14.0","12.7","21.2","2.7","0.5","345.1","5,809.6","115.9"
"Houston Texans","","47.5","15.2","10.0","14.2","2.7","0.5","352.3","5,550.6","115.0"
"Baltimore Ravens","","52.5","14.0","9.7","13.7","2.3","0.5","341.1","5,327.8","114.8"
"Green Bay Packers","","47.3","12.8","12.1","18.7","2.4","0.5","355.6","5,579.0","112.6"
"Pittsburgh Steelers","","44.0","13.6","12.4","20.3","2.5","0.0","348.2","5,691.2","110.8"
"Minnesota Vikings","","45.8","13.6","10.2","15.1","2.5","0.0","356.3","5,324.1","108.5"
"New York Giants","","50.6","10.4","11.9","19.2","2.0","0.0","420.0","5,832.0","107.6"
"Detroit Lions","","43.0","13.9","9.6","14.2","2.5","0.0","375.9","5,788.9","104.9"
"Los Angeles Rams","","45.0","13.2","9.1","14.8","2.2","0.5","375.6","5,912.2","104.1"
"Los Angeles Chargers","","47.0","12.3","9.9","15.3","2.1","0.0","370.7","5,812.3","103.6"
"San Francisco 49ers","","43.0","13.3","8.8","13.8","2.3","1.0","384.8","5,632.9","103.1"
"Washington Commanders","","46.0","11.4","10.3","15.9","2.1","0.5","399.3","6,088.8","102.9"
"Tampa Bay Buccaneers","","44.2","11.8","11.0","16.7","2.0","0.5","374.6","5,713.4","102.9"
"Dallas Cowboys","","47.6","11.2","9.5","16.5","2.3","0.0","414.7","6,175.3","102.6"
"Kansas City Chiefs","","45.7","11.8","9.3","14.3","2.2","0.5","348.2","5,585.3","102.3"
"Seattle Seahawks","","45.1","12.9","8.6","13.7","2.0","0.5","362.7","5,633.7","101.2"
"Chicago Bears","","40.4","13.0","10.2","17.4","2.2","0.5","385.9","5,911.4","100.8"
"Arizona Cardinals","","43.2","12.0","9.2","14.8","2.1","1.0","392.1","5,828.5","99.7"
"Indianapolis Colts","","41.0","12.6","9.8","15.1","2.0","1.0","403.6","5,691.4","99.6"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","420.9","5,982.7","98.7"
"New York Jets","","43.4","12.1","9.6","14.6","1.8","0.5","388.6","5,385.2","98.7"
"Cincinnati Bengals","","40.1","12.4","9.4","14.7","2.1","0.0","422.9","6,155.6","96.2"
"Las Vegas Raiders","","42.7","11.3","7.9","12.5","1.9","0.5","419.9","5,786.0","93.9"
"Miami Dolphins","","39.8","11.1","8.9","13.5","2.0","0.5","393.5","5,691.2","92.6"
"Atlanta Falcons","","39.3","11.6","8.5","14.0","1.9","0.5","414.1","5,996.2","92.2"
"Jacksonville Jaguars","","39.2","11.7","8.4","12.2","2.0","0.5","415.1","5,878.2","92.1"
"New Orleans Saints","","39.1","13.3","7.6","10.2","1.8","0.0","396.9","6,100.7","92.0"
"Tennessee Titans","","39.9","10.7","8.5","13.8","1.7","0.5","423.2","5,713.4","89.7"
"New England Patriots","","35.9","11.5","8.0","11.2","1.9","0.0","408.7","5,649.3","86.4"
"Carolina Panthers","","34.8","11.2","7.8","11.4","1.7","0.0","442.6","6,300.8","83.2"
""
""
