Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Saquon Barkley,PHI,RB1,336.4,"1,683.60",11.1,43.2,331.1,2.2,1.4,299.9
Bijan Robinson,ATL,RB2,304.8,"1,421.80",11.4,58.9,447.2,2.2,1.4,295.5
Ja'Marr Chase,CIN,WR1,1.6,12.7,0,120.1,"1,580.90",12.2,0.6,291.8
Jahmyr Gibbs,DET,RB3,240.2,"1,240.40",11.7,58.2,511.9,2.8,1.3,288.5
Christian McCaffrey,SF,RB4,245.5,"1,110.90",8.1,64.6,556.9,3.5,1.8,265.2
Derrick Henry,BAL,RB5,306.2,"1,554.40",13.7,16.3,153,0.9,1.4,264
De'Von Achane,MIA,RB6,217.9,"1,014.60",7.6,68.5,505.7,3.9,1.3,252.5
Justin Jefferson,MIN,WR2,0.5,2.2,0,103.5,"1,443.30",9.5,0.6,252
CeeDee Lamb,DAL,WR3,9.1,58.8,0.3,112.1,"1,395.20",8.1,1,250
Josh Jacobs,GB,RB7,291,"1,234.20",11.5,38,315,1.5,1.5,248.5
Jonathan Taylor,IND,RB8,310.7,"1,413.10",10.7,28.5,204.2,1.3,1.6,244.6
Ashton Jeanty,LV,RB9,272.9,"1,227.70",9.3,45.9,361.5,1.9,2.4,244.1
Kyren Williams,LAR,RB10,291.7,"1,249.30",11.6,33.5,212.9,1.7,2.3,238.1
Malik Nabers,NYG,WR4,2.6,12.2,0,107,"1,343.60",8.3,0.6,237.8
Chase Brown,CIN,RB11,244.7,"1,033.10",8.4,57.8,406.6,2.8,1.4,237.5
Puka Nacua,LAR,WR5,10.7,61.4,0.6,103.8,"1,347.70",6.8,0.6,235.9
Amon-Ra St. Brown,DET,WR6,1.9,12.6,0.1,109.7,"1,257.80",8.8,0.9,232.9
Bucky Irving,TB,RB12,245.1,"1,161.90",8.5,45.3,352.7,1.7,1.4,232.6
Nico Collins,HOU,WR7,0,1.6,0,92.2,"1,315.20",9,0.5,230.6
Brian Thomas Jr.,JAC,WR8,3.8,24.9,0,91.9,"1,293.90",8.6,0.6,228.6
Drake London,ATL,WR9,0.3,2,0,95.7,"1,231.10",8.2,0.6,219.2
James Cook III,BUF,RB13,232.5,"1,090.00",9.8,31.6,258.7,1.9,1.4,217.9
A.J. Brown,PHI,WR10,0,0,0,84.9,"1,243.00",8.4,0.9,215.1
James Conner,ARI,RB14,223,"1,004.10",8.2,42.4,325.4,1.7,1.4,211
Alvin Kamara,NO,RB15,218.7,897.3,5.4,62.7,478,2,1.3,211
Ladd McConkey,LAC,WR11,0,1.4,0,90.1,"1,206.00",7.5,0.7,209.7
Chuba Hubbard,CAR,RB16,252.3,"1,109.60",8.2,40.9,246.5,1.1,1.8,208.1
Mike Evans,SF,WR12,0,0,0,79.8,"1,073.50",10,0.5,206.1
Tee Higgins,CIN,WR13,0,0,0,86.2,"1,096.10",8.9,0.9,204.5
Terry McLaurin,WAS,WR14,1.1,4.8,0,84.3,"1,122.00",8.2,0.9,202.6
Breece Hall,NYJ,RB17,218.4,977.9,5.8,46,376.5,1.9,1.6,201.7
Davante Adams,LAR,WR15,0.3,0,0,85.1,"1,098.30",8.3,0.5,201.2
Brock Bowers,LV,TE1,0,8,0,105.1,"1,115.40",6.1,0.5,200.6
Omarion Hampton,LAC,RB18,225.5,985.6,8.7,35.2,273,1.5,2.1,200.4
Kenneth Walker III,KC,RB19,233.4,948.3,8,43,308.1,1.3,1.3,199.9
Jaxon Smith-Njigba,SEA,WR16,2.7,20.9,0,93.1,"1,110.70",6.6,0.6,198.2
DK Metcalf,PIT,WR17,0,1.2,0,78.6,"1,144.10",7.3,1.3,195.2
Tony Pollard,TEN,RB20,251.4,"1,050.80",5.9,42.9,275,0.9,1,193
Marvin Harrison Jr.,ARI,WR18,0,3.2,0,78.7,"1,087.20",7.6,1,192.1
Xavier Worthy,KC,WR19,15.5,84.7,1.5,74.5,926.4,7.5,0.5,191.3
Trey McBride,ARI,TE2,0,1.5,0,103.9,"1,051.00",5.8,0.5,191.2
Garrett Wilson,NYJ,WR20,1.9,13.5,0,91.2,"1,088.80",6,1.3,189.1
TreVeyon Henderson,NE,RB21,222.7,968.6,6.3,36.6,284.3,1.8,1.7,188.6
DJ Moore,BUF,WR21,9.5,53.8,0.1,87.3,"1,009.50",6.4,0.9,187.5
Zay Flowers,BAL,WR22,8.2,48.5,0.1,77,"1,044.60",6.4,0.5,185.9
D'Andre Swift,CHI,RB22,237.6,963.2,6.1,36.6,283.2,1.2,1.1,184.9
Courtland Sutton,DEN,WR23,0,0.2,0,76.6,"1,016.60",7.6,0.9,183.8
David Montgomery,HOU,RB23,199.2,837.1,9,31.7,260.2,0.9,1,183
George Kittle,SF,TE3,0,0,0,75.2,"1,014.60",7.4,0.5,182.4
Tetairoa McMillan,CAR,WR24,0.5,7.6,0,80.7,"1,047.50",6.4,1.2,182.1
Aaron Jones Sr.,MIN,RB24,198.8,888.8,4.5,44.3,327.1,2.3,1.8,180.7
Calvin Ridley,TEN,WR25,5.6,33.4,0.3,71.4,"1,045.00",6,0.9,179.6
DeVonta Smith,PHI,WR26,0.3,1.2,0,81.2,977.2,7,0.5,179.5
Jameson Williams,DET,WR27,7.4,63.4,0.8,62.4,991,6.4,0.5,179.1
Jerry Jeudy,CLE,WR28,0.3,4.8,0,82.8,"1,121.90",4.2,0.6,178.3
George Pickens,DAL,WR29,1,6.2,0,69.6,"1,018.80",6.4,0.9,174.3
RJ Harvey,DEN,RB25,192.4,827.7,5.8,35.3,269.9,1.7,1.3,169.6
Jaylen Waddle,DEN,WR30,2.8,16.4,0.1,77.7,993.3,5,0.5,169.3
Isiah Pacheco,DET,RB26,207.7,857.2,6,34.1,234,1.1,1,166.7
Tyrone Tracy Jr.,NYG,RB27,192.7,830.6,5.4,36,268.2,1.1,1.6,163.5
Travis Hunter,JAC,WR31,3.8,21.7,0.1,71.6,928,5.4,0.8,162
Jakobi Meyers,JAC,WR32,1.2,8.7,0,77.7,907.4,4.9,0.5,159.1
Matthew Golden,GB,WR33,0.5,9.4,0,65.2,904.6,6.1,0.8,159
Rome Odunze,CHI,WR34,1.3,8,0,68.5,917.7,5.6,0.9,158.9
