Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Saquon Barkley,PHI,RB1,336.4,"1,683.60",11.1,43.2,331.1,2.2,1.4,278.2
Bijan Robinson,ATL,RB2,304.8,"1,421.80",11.4,58.9,447.2,2.2,1.4,266.1
Jahmyr Gibbs,DET,RB3,240.2,"1,240.40",11.7,58.2,511.9,2.8,1.3,259.5
Derrick Henry,BAL,RB4,306.2,"1,554.40",13.7,16.3,153,0.9,1.4,255.8
Christian McCaffrey,SF,RB5,245.5,"1,110.90",8.1,64.6,556.9,3.5,1.8,233
Ja'Marr Chase,CIN,WR1,1.6,12.7,0,120.1,"1,580.90",12.2,0.6,231.7
Jonathan Taylor,IND,RB6,310.7,"1,413.10",10.7,28.5,204.2,1.3,1.6,230.3
Josh Jacobs,GB,RB7,291,"1,234.20",11.5,38,315,1.5,1.5,229.5
Kyren Williams,LAR,RB8,291.7,"1,249.30",11.6,33.5,212.9,1.7,2.3,221.3
Ashton Jeanty,LV,RB9,272.9,"1,227.70",9.3,45.9,361.5,1.9,2.4,221.1
De'Von Achane,MIA,RB10,217.9,"1,014.60",7.6,68.5,505.7,3.9,1.3,218.3
Bucky Irving,TB,RB11,245.1,"1,161.90",8.5,45.3,352.7,1.7,1.4,209.9
Chase Brown,CIN,RB12,244.7,"1,033.10",8.4,57.8,406.6,2.8,1.4,208.6
James Cook III,BUF,RB13,232.5,"1,090.00",9.8,31.6,258.7,1.9,1.4,202.1
Justin Jefferson,MIN,WR2,0.5,2.2,0,103.5,"1,443.30",9.5,0.6,200.2
CeeDee Lamb,DAL,WR3,9.1,58.8,0.3,112.1,"1,395.20",8.1,1,194
James Conner,ARI,RB14,223,"1,004.10",8.2,42.4,325.4,1.7,1.4,189.9
Chuba Hubbard,CAR,RB15,252.3,"1,109.60",8.2,40.9,246.5,1.1,1.8,187.6
Nico Collins,HOU,WR4,0,1.6,0,92.2,"1,315.20",9,0.5,184.5
Malik Nabers,NYG,WR5,2.6,12.2,0,107,"1,343.60",8.3,0.6,184.3
Puka Nacua,LAR,WR6,10.7,61.4,0.6,103.8,"1,347.70",6.8,0.6,184.1
Omarion Hampton,LAC,RB16,225.5,985.6,8.7,35.2,273,1.5,2.1,182.8
Brian Thomas Jr.,JAC,WR7,3.8,24.9,0,91.9,"1,293.90",8.6,0.6,182.6
Alvin Kamara,NO,RB17,218.7,897.3,5.4,62.7,478,2,1.3,179.6
Breece Hall,NYJ,RB18,218.4,977.9,5.8,46,376.5,1.9,1.6,178.7
Kenneth Walker III,KC,RB19,233.4,948.3,8,43,308.1,1.3,1.3,178.4
Amon-Ra St. Brown,DET,WR8,1.9,12.6,0.1,109.7,"1,257.80",8.8,0.9,178.1
A.J. Brown,PHI,WR9,0,0,0,84.9,"1,243.00",8.4,0.9,172.7
Tony Pollard,TEN,RB20,251.4,"1,050.80",5.9,42.9,275,0.9,1,171.6
Drake London,ATL,WR10,0.3,2,0,95.7,"1,231.10",8.2,0.6,171.3
TreVeyon Henderson,NE,RB21,222.7,968.6,6.3,36.6,284.3,1.8,1.7,170.3
David Montgomery,HOU,RB22,199.2,837.1,9,31.7,260.2,0.9,1,167.1
D'Andre Swift,CHI,RB23,237.6,963.2,6.1,36.6,283.2,1.2,1.1,166.6
Mike Evans,SF,WR11,0,0,0,79.8,"1,073.50",10,0.5,166.2
Ladd McConkey,LAC,WR12,0,1.4,0,90.1,"1,206.00",7.5,0.7,164.6
Tee Higgins,CIN,WR13,0,0,0,86.2,"1,096.10",8.9,0.9,161.4
Terry McLaurin,WAS,WR14,1.1,4.8,0,84.3,"1,122.00",8.2,0.9,160.4
Davante Adams,LAR,WR15,0.3,0,0,85.1,"1,098.30",8.3,0.5,158.6
Aaron Jones Sr.,MIN,RB24,198.8,888.8,4.5,44.3,327.1,2.3,1.8,158.6
DK Metcalf,PIT,WR16,0,1.2,0,78.6,"1,144.10",7.3,1.3,155.9
Xavier Worthy,KC,WR17,15.5,84.7,1.5,74.5,926.4,7.5,0.5,154
Marvin Harrison Jr.,ARI,WR18,0,3.2,0,78.7,"1,087.20",7.6,1,152.7
RJ Harvey,DEN,RB25,192.4,827.7,5.8,35.3,269.9,1.7,1.3,152
Jaxon Smith-Njigba,SEA,WR19,2.7,20.9,0,93.1,"1,110.70",6.6,0.6,151.6
Isiah Pacheco,DET,RB26,207.7,857.2,6,34.1,234,1.1,1,149.7
Brock Bowers,LV,TE1,0,8,0,105.1,"1,115.40",6.1,0.5,148.1
Jameson Williams,DET,WR20,7.4,63.4,0.8,62.4,991,6.4,0.5,147.9
Zay Flowers,BAL,WR21,8.2,48.5,0.1,77,"1,044.60",6.4,0.5,147.4
Kaleb Johnson,PIT,RB27,206.6,864.2,6.6,22.9,175.3,1,1.7,146.1
Courtland Sutton,DEN,WR22,0,0.2,0,76.6,"1,016.60",7.6,0.9,145.6
Tyrone Tracy Jr.,NYG,RB28,192.7,830.6,5.4,36,268.2,1.1,1.6,145.5
George Kittle,SF,TE2,0,0,0,75.2,"1,014.60",7.4,0.5,144.8
Calvin Ridley,TEN,WR23,5.6,33.4,0.3,71.4,"1,045.00",6,0.9,144
DJ Moore,BUF,WR24,9.5,53.8,0.1,87.3,"1,009.50",6.4,0.9,143.9
Garrett Wilson,NYJ,WR25,1.9,13.5,0,91.2,"1,088.80",6,1.3,143.5
Tetairoa McMillan,CAR,WR26,0.5,7.6,0,80.7,"1,047.50",6.4,1.2,141.8
George Pickens,DAL,WR27,1,6.2,0,69.6,"1,018.80",6.4,0.9,139.4
Trey McBride,ARI,TE3,0,1.5,0,103.9,"1,051.00",5.8,0.5,139.3
DeVonta Smith,PHI,WR28,0.3,1.2,0,81.2,977.2,7,0.5,138.9
Jerry Jeudy,CLE,WR29,0.3,4.8,0,82.8,"1,121.90",4.2,0.6,136.9
Jaylen Waddle,DEN,WR30,2.8,16.4,0.1,77.7,993.3,5,0.5,130.4
Jaylen Warren,PIT,RB29,148.9,666,3.6,49.8,361.3,1.2,1.1,129.1
Jacory Croskey-Merritt,WAS,RB30,163.9,693.6,5.8,22.7,179.4,1.3,0.9,128.1
Matthew Golden,GB,WR31,0.5,9.4,0,65.2,904.6,6.1,0.8,126.4
Travis Hunter,JAC,WR32,3.8,21.7,0.1,71.6,928,5.4,0.8,126.2
Rome Odunze,CHI,WR33,1.3,8,0,68.5,917.7,5.6,0.9,124.7
Ricky Pearsall,SF,WR34,7,54,0.3,63.4,851.5,5.5,0.6,124.2
Jakobi Meyers,JAC,WR35,1.2,8.7,0,77.7,907.4,4.9,0.5,120.2
Sam LaPorta,DET,TE4,0,0,0,69.9,785.3,7,0.4,119.5
Zach Charbonnet,SEA,RB31,135.9,586.2,4.9,36,267.2,1,0.8,119.2
Chris Olave,NO,WR36,0.3,2.6,0,75.1,941.1,4.3,0.9,118.5
Keon Coleman,BUF,WR37,0.3,3.8,0,52.3,822.3,6.1,0.5,118.3
Cooper Kupp,SEA,WR38,1.3,9.2,0,74.9,846.5,5.6,0.6,118.1
J.K. Dobbins,DEN,RB32,147.2,655.3,4.8,29.6,189.7,1.2,1.2,118
Jordan Mason,MIN,RB33,164.2,755.5,4.7,16.2,118.4,0.5,0.7,117.1
Javonte Williams,DAL,RB34,167.4,641.6,4.4,34.3,219.9,0.9,0.6,116.6
Emeka Egbuka,TB,WR39,1.6,11.5,0,65.3,827.9,5.7,1.1,116
Rashid Shaheed,SEA,WR40,8,46.7,0.1,55.5,840.5,4.7,1.2,115.4
Mark Andrews,BAL,TE5,0,2,0,58.9,700.5,7.7,0.8,114.7
Jordan Addison,MIN,WR41,0.9,6.6,0.2,58,760.6,6.1,0.4,113.5
Rhamondre Stevenson,NE,RB35,153,620.8,5,27.8,176.8,1.1,1.5,113.2
Darnell Mooney,NYG,WR42,0,1.5,0,61.1,864.2,4.6,0.5,113.1
Travis Etienne Jr.,NO,RB36,140.2,573.1,3.8,36.9,272.9,1.1,0.8,112.3
Michael Pittman Jr.,PIT,WR43,0.3,2,0,78.1,884.3,4.2,0.9,112.2
Jayden Reed,GB,WR44,11.1,79.8,0.7,52.6,703.2,5.2,0.9,111.8
Chris Godwin Jr.,TB,WR45,1.6,8.1,0,67.6,784.6,5.1,0.6,109
Khalil Shakir,BUF,WR46,0.5,3,0,71,803.1,4.9,0.6,108.7
Travis Kelce,KC,TE6,0,0.5,0,81.3,776.3,5.3,0.9,107.7
Marvin Mims Jr.,DEN,WR47,11.9,49.7,0.1,52.8,697.8,5.4,0.6,106.6
Jerome Ford,WAS,RB37,142.7,589,3.1,34.3,238.4,1.1,0.8,106.3
Rashod Bateman,BAL,WR48,0,0.6,0,47.7,714.7,5.8,0.1,106.2
Rashee Rice,KC,WR49,0.8,4.1,0,61.9,733.1,5.4,0.6,104.9
Josh Downs,IND,WR50,0.3,5.8,0,69,767.3,4.5,0.5,103.4
T.J. Hockenson,MIN,TE7,0,0,0,72.6,762.5,4.6,0.5,102.7
Tank Bigsby,PHI,RB38,150.5,618.7,5,10.6,76.9,0.2,1.1,98.3
Cedric Tillman,CLE,WR51,0.7,0.8,0,58,734,4.1,0.9,96.4
Quinshon Judkins,CLE,RB39,127,543.7,3.6,21.7,168.3,0.9,1.2,96.1
Xavier Legette,CAR,WR52,6.2,30.6,0.1,60.1,678.1,4.3,0.5,96
Rachaad White,WAS,RB40,104.6,420.7,2.7,35.7,269.8,2.1,1.3,95.3
Tyler Warren,IND,TE8,0,10.5,0,63.2,679.1,4.7,1.1,95.1
Cam Skattebo,NYG,RB41,122.3,523.4,3.5,23.8,185,1,1.2,95
Trey Benson,ARI,RB42,129.4,581.4,3.8,16.5,125.8,0.5,0.9,94.9
Hollywood Brown,PHI,WR53,0.3,2,0,55.4,682.7,4.4,0.2,94.3
Tucker Kraft,GB,TE9,0,0,0,55.5,653.6,4.8,0.8,92.6
Dylan Sampson,CLE,RB43,125,518.5,3,22.8,178.6,0.9,0.8,92
Keenan Allen,LAC,WR54,0.3,2,0,55.4,638.8,4.8,0.6,91.6
Christian Kirk,SF,WR55,0.7,4,0,54.3,698.3,3.7,0.8,90.6
Kyle Pitts Sr.,ATL,TE10,0,0,0,51.2,648.4,4.2,0.1,90.2
Brandon Aiyuk,SF,WR56,0,0.8,0,45,685.8,3.7,0.5,90
Jaydon Blue,DAL,RB44,113.8,496.2,3.1,22.9,176.6,0.9,0.8,89.4
Jayden Higgins,HOU,WR57,0.7,4,0,50,663.6,3.9,0.4,89.3
DeMario Douglas,NE,WR58,2.1,15.9,0,60.8,646.4,3.5,0.2,87
Najee Harris,LAC,RB45,124.6,484.2,3.8,17.7,130,0.7,0.8,86.9
Tyler Allgeier,ARI,RB46,121.3,555.1,3.3,13.8,102.1,0.4,0.8,86.4
Evan Engram,DEN,TE11,0,0,0,70.4,628.1,4.2,0.9,86.2
Dallas Goedert,PHI,TE12,0,2,0,57.5,634.2,3.9,0.5,86.1
Ray Davis,BUF,RB47,114.6,485.6,3.7,12.4,105.6,1,0.8,85.2
Joshua Palmer,BUF,WR59,0,0.5,0,44.5,622.5,3.8,0.1,84.6
Romeo Doubs,NE,WR60,0,0.5,0,46.9,598.2,4.3,0.5,84.5
Dalton Kincaid,BUF,TE13,0,0,0,57.3,603.2,4,0.5,83.6
Jake Ferguson,DAL,TE14,0,0,0,67.9,621,3.8,1.3,82.4
Wan'Dale Robinson,TEN,WR61,2,15.8,0,69.2,625.7,3.1,0.5,82.2
Bhayshul Tuten,JAC,RB48,106.6,448.9,3.1,18.5,145.1,0.9,0.9,81.3
Hunter Henry,NE,TE15,0,0,0,54.4,568.5,3.9,0.4,79.3
Braelon Allen,NYJ,RB49,116.6,440.4,3,16.8,126.5,0.8,0.4,78.7
Michael Wilson,ARI,WR62,1.9,8.9,0.1,44.9,540.2,4.1,0.5,78.6
Colston Loveland,CHI,TE16,0,0,0,54.3,569.6,3.8,1.1,77.4
Tyler Lockett,LV,WR63,0,0,0,49.2,570.3,3.4,0.1,77
Calvin Austin III,NYG,WR64,2.3,11.8,0.1,41,547.6,3.5,0.5,76
Rico Dowdle,PIT,RB50,93.1,416.2,2.4,22.4,151.8,1.1,0.8,76
