player_name,first_name,last_name,football_name,player_team,nflreadpy_id,espn_id,headshot,position,status,jersey_number,birth_date,college_name
A.J. Green,Adriel,Green,A.J.,ARI,00-0027942,13983,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guj5a9vnnzqfiljupzuj",WR,ACT,18,1988-07-31,Georgia
A.J. Richardson,A.J.,Richardson,A.J.,ARI,00-0035491,3124369,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vkkhqure7ebktsf45zvr",WR,DEV,83,1995-06-02,Boise State
A.J. Schable,Andrew,Schable,,ARI,00-0023950,10322,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g79pm9sjio5p9waahpxe",FB,ACT,44,1984-05-18,South Dakota
Aaron Brewer,Aaron,Brewer,Aaron,ARI,00-0028946,15241,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnaix4zmrmwryj55usgx",LS,UFA,46,1990-07-05,San Diego State
Aaron Epps,Aaron,Epps,Aaron,ARI,00-0032948,2576642,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ourvxuixhcid4eeyfox2",OT,DEV,0,1992-11-16,Louisville
Adam Bergen,Adam,Bergen,,ARI,00-0023217,9260,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uingynnfpgbhcedhbdtb",TE,RES,89,1983-09-03,Lehigh University
Adrian Mayes,Adrian,Mayes,,ARI,00-0022386,6268,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hzx6mbajrte4t4n3gkps",DB,CUT,37,1980-11-17,LSU
Ahmad Merritt,Ahmad,Merritt,,ARI,00-0019510,2984,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oqw6hzx5n7ynq6jngqrg",WR,RES,86,1977-02-05,Wisconsin
Al Jacevicius,Al,Jacevicius,,ARI,JAC004513,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bri6r3q6focqpjmu85wa",OT,CUT,0,1968-01-19,Eastern Kentucky
Alameda Ta'amu,Alameda,Ta'amu,Alameda,ARI,00-0029138,15101,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ccft6t4wnsc4uk3xxkfb",NT,ACT,66,1990-08-23,Washington
