Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
A.J. Brown,PHI,WR9,172.7,257.6,215.1,22,20.3,21,0,0,0,84.9,1243,8.4,0.9,,,,,,,,,,,,,,,,,4047646,00-0035676,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw"
AJ Barner,SEA,TE33,44.8,77.1,61,,356.5,,0,0,0,32.3,305.6,2.4,0.1,,,,,,,,,,,,,,,,,4576297,00-0039793,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ul77k5rqbqzd5zzqsaea"
AJ Dillon,CAR,RB84,26.5,30,28.2,283,315.3,283,37,154.1,1.3,3.5,28.2,0.1,0,,,,,,,,,,,,,,,,,4239934,00-0036265,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nknt5pckn5mzq9ll660i"
Aaron Jones Sr.,MIN,RB24,158.6,202.9,180.7,63.5,65.3,66.7,198.8,888.8,4.5,44.3,327.1,2.3,1.8,,,,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE50,23.4,36.9,30.1,,356.5,,0,0,0,13.5,146.8,1.5,0,,,,,,,,,,,,,,,,,3911853,00-0036422,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck9dspk0ykijetdshyn4"
Adonai Mitchell,NYJ,WR87,50.5,78.8,64.7,264,288.7,285.5,2.9,9.5,0.1,28.3,371,2.2,0.4,,,,,,,,,,,,,,,,,4597500,00-0039890,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwwacoa3pqapd7pgahfx"
Albert Okwuegbunam Jr.,LV,TE110,0,0,0,,620,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Alec Ingold,LAC,RB98,11.7,17.8,14.7,,491,,9,21.8,0.6,6.1,44.1,0.4,0.4,,,,,,,,,,,,,,,,,,,
Alec Pierce,IND,WR66,74.3,105.4,89.9,205.5,233.8,235,0,0,0,31.1,536.5,3.5,0.1,,,,,,,,,,,,,,,,,4360078,00-0037664,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zeghrjc8rir3r3zi6det"
Alvin Kamara,NO,RB17,179.6,242.4,211,38.5,37,38,218.7,897.3,5.4,62.7,478,2,1.3,,,,,,,,,,,,,,,,,3054850,00-0033906,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uay6uo9lonegelngihki"
Amon-Ra St. Brown,DET,WR8,178.1,287.8,232.9,9,9.7,9.7,1.9,12.6,0.1,109.7,1257.8,8.8,0.9,,,,,,,,,,,,,,,,,4374302,00-0036963,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i"
Andrei Iosivas,CIN,WR79,59.7,90.9,75.3,280,273.7,278,0,0,0,31.2,379.2,3.7,0.1,,,,,,,,,,,,,,,,,4368003,00-0038619,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvanfldklpds1gp08bsp"
Andrew Beck,NYJ,TE108,0,0,0,,619.5,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3125107,00-0034959,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cgfleml3vlakevf285n3"
Anthony Gould,IND,WR155,2.8,4.6,3.7,,744,,0,2.5,0,1.8,22.8,0.1,0,,,,,,,,,,,,,,,,,4429684,00-0039816,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kplzuye1iocg1vyec3ru"
Arian Smith,NYJ,WR116,20.9,34.3,27.6,,559,,0,5.5,0,13.4,161,0.7,0,,,,,,,,,,,,,,,,,4429105,00-0040582,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/asywvwrn6zhlidxothqn"
Ashton Dulin,IND,WR160,2.6,4.3,3.5,,599,,0,1.7,0,1.7,19.4,0.1,0,,,,,,,,,,,,,,,,,4061956,00-0035021,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tfiokr6nyal5c5qgdj1c"
